unit_id,baseline_rate,evoked_rate,evoked_ratio,t_stat,p_value,waveform_duration,evoke_positive,evoke_significant,low_spike_width,positive,session_id
951810314,2.469135802469136,2.3391812865497075,0.9625398014609478,-0.0377817300128182,0.5149836933442826,0.782914572864322,True,False,True,False,756029989
951810369,4.938271604938271,0.0,0.1683991683991684,-1.4305633952771808,0.920190398826762,0.714237855946399,True,False,True,False,756029989
951810338,0.0,2.3391812865497075,3.3391812865497075,1.0,0.1613892393771546,0.741708542713568,True,False,True,False,756029989
951810392,0.0,0.0,1.0,,,0.604355108877722,True,False,True,False,756029989
951810425,7.407407407407408,11.695906432748536,1.510085787155112,0.6304692015205814,0.2658243604437837,0.247236180904523,True,False,True,False,756029989
951812218,2.469135802469136,0.0,0.2882562277580071,-0.9999999999999998,0.8386107606228453,0.618090452261306,True,False,True,False,756029989
951810459,7.407407407407408,7.017543859649122,0.9536285648040806,-0.0654419991003689,0.5259407376237362,0.164824120603015,True,False,True,False,756029989
951810548,2.469135802469136,9.35672514619883,2.985390522569769,1.3124207774210688,0.0980917047011372,0.247236180904523,True,False,True,False,756029989
951810517,0.0,0.0,1.0,,,0.590619765494137,True,False,True,False,756029989
951810495,2.469135802469136,4.678362573099415,1.6368233751638883,0.5308966264215094,0.2990800808877211,0.618090452261307,True,False,True,False,756029989
951810564,32.098765432098766,39.76608187134504,1.2316496201338858,0.7125520718346455,0.2399423820941132,0.192294807370184,True,False,True,False,756029989
951810681,0.0,4.678362573099415,5.678362573099415,1.4305633952771817,0.0798096011732377,0.576884422110553,True,False,True,False,756029989
951810724,0.0,2.3391812865497075,3.3391812865497075,1.0000000000000002,0.1613892393771546,0.645561139028476,True,False,True,False,756029989
951810714,24.69135802469136,18.713450292397663,0.7673183439136044,-0.6574265021198261,0.7428343298321373,0.247236180904523,True,False,True,False,756029989
951810747,12.34567901234568,16.374269005847953,1.301864745119042,0.5282246438300316,0.2999988244257289,0.219765494137353,True,False,True,False,756029989
951810810,12.34567901234568,14.035087719298245,1.1265884415015337,0.2100503209323337,0.4172990203263056,0.549413735343384,True,False,True,False,756029989
951810800,7.407407407407408,9.35672514619883,1.2318571759795964,0.3044184589452288,0.3811221405757666,0.535678391959799,True,False,True,False,756029989
951810780,19.753086419753085,11.695906432748536,0.611759917342434,-0.921879231614966,0.8191904724370214,0.563149078726968,True,False,True,False,756029989
951810862,4.938271604938271,4.678362573099415,0.9562315351789036,-0.0534323017331959,0.5211853320231865,0.618090452261307,True,False,True,False,756029989
951810906,4.938271604938271,11.695906432748536,2.1379800853485063,1.076400927906927,0.1438073514876778,0.563149078726968,True,False,True,False,756029989
951810821,14.814814814814811,11.695906432748536,0.8027856526562307,-0.386345991112804,0.6494487663961575,0.535678391959799,True,False,True,False,756029989
951811003,7.407407407407408,2.3391812865497075,0.3971713424530488,-1.0406813963530863,0.8481458587481567,0.700502512562814,True,False,True,False,756029989
951810960,4.938271604938271,11.695906432748536,2.1379800853485063,1.076400927906927,0.1438073514876778,0.50820770519263,True,False,True,False,756029989
951810949,7.407407407407408,2.3391812865497075,0.3971713424530488,-1.040681396353086,0.8481458587481567,0.700502512562814,True,False,True,False,756029989
951811011,14.814814814814811,9.35672514619883,0.6548748921484039,-0.7935772555478496,0.7841497301173153,0.274706867671692,True,False,True,False,756029989
951812284,2.469135802469136,0.0,0.2882562277580071,-0.9999999999999998,0.8386107606228453,0.549413735343384,True,False,True,False,756029989
951811082,9.876543209876544,11.695906432748536,1.1672740307067326,0.2502722146002007,0.4017708805214149,0.425795644891122,True,False,True,False,756029989
951811061,4.938271604938271,2.3391812865497075,0.562315351789036,-0.6140976471957924,0.7288434266385075,0.645561139028476,True,False,True,False,756029989
951811155,2.469135802469136,2.3391812865497075,0.9625398014609478,-0.0377817300128182,0.5149836933442826,0.714237855946399,True,False,True,False,756029989
951811093,0.0,0.0,1.0,,,0.618090452261307,True,False,True,False,756029989
951811269,0.0,4.678362573099415,5.678362573099415,1.4305633952771817,0.0798096011732377,0.631825795644891,True,False,True,False,756029989
951811227,4.938271604938271,2.3391812865497075,0.562315351789036,-0.6140976471957924,0.7288434266385075,0.604355108877722,True,False,True,False,756029989
951811217,4.938271604938271,0.0,0.1683991683991684,-1.4305633952771808,0.920190398826762,0.32964824120603,True,False,True,False,756029989
951811321,9.876543209876544,7.017543859649122,0.73714080888942,-0.4435710073401914,0.6702368020306048,0.192294807370184,True,False,True,False,756029989
951811306,0.0,0.0,1.0,,,1.09882747068677,True,False,True,False,756029989
951811295,0.0,0.0,1.0,,,0.357118927973199,True,False,True,False,756029989
951811440,0.0,2.3391812865497075,3.3391812865497075,1.0,0.1613892393771546,0.563149078726968,True,False,True,False,756029989
951811426,17.28395061728395,18.713450292397663,1.0781833043107434,0.1633795321920779,0.4354838728537411,0.260971524288107,True,False,True,False,756029989
951811399,2.469135802469136,0.0,0.2882562277580071,-0.9999999999999998,0.8386107606228453,0.535678391959799,True,False,True,False,756029989
951812296,0.0,0.0,1.0,,,0.618090452261307,True,False,True,False,756029989
951811514,0.0,2.3391812865497075,3.3391812865497075,1.0000000000000002,0.1613892393771546,0.576884422110553,True,False,True,False,756029989
951811504,2.469135802469136,4.678362573099415,1.6368233751638883,0.9418055892046632,0.1757173064502722,0.233500837520938,True,False,True,False,756029989
951811494,0.0,4.678362573099415,5.678362573099415,1.4305633952771817,0.0798096011732378,0.535678391959799,True,False,True,False,756029989
951811546,0.0,0.0,1.0,,,0.618090452261306,True,False,True,False,756029989
