unit_id,baseline_rate,evoked_rate,evoked_ratio,t_stat,p_value,waveform_duration,evoke_positive,evoke_significant,low_spike_width,positive,session_id
950908795,0.0,0.0,1.0,,,0.631825795644891,True,False,False,False,721123822
950908404,2.469135802469136,0.0,0.2882562277580071,-0.9999999999999998,0.8386107606228453,0.755443886097152,True,False,False,False,721123822
950908410,19.753086419753085,39.76608187134504,1.9643382698268577,2.2830250879866774,0.0136577695864414,0.192294807370184,True,True,True,True,721123822
950908418,4.938271604938271,0.0,0.1683991683991684,-1.4305633952771808,0.920190398826762,0.343383584589615,True,False,True,False,721123822
950908416,0.0,0.0,1.0,,,0.549413735343384,True,False,False,False,721123822
950908414,19.753086419753085,4.678362573099415,0.2736153292213281,-2.0160820902749954,0.9750388476992256,0.618090452261307,True,False,False,False,721123822
950908420,14.814814814814811,7.017543859649122,0.506964131640577,-1.0728835615716403,0.8554137243291944,0.535678391959799,True,False,False,False,721123822
950908426,4.938271604938271,4.678362573099415,0.9562315351789036,-0.0534323017331959,0.5211853320231865,0.673031825795645,True,False,False,False,721123822
950908424,4.938271604938271,44.44444444444446,7.652806652806655,4.327887982404045,4.271953015481675e-05,0.206030150753769,True,True,True,True,721123822
950908422,12.34567901234568,7.017543859649122,0.6007595306490092,-0.774563159040659,0.7786298159192908,0.618090452261306,True,False,False,False,721123822
950908442,0.0,0.0,1.0,,,0.741708542713568,True,False,False,False,721123822
950908438,2.469135802469136,0.0,0.2882562277580071,-0.9999999999999998,0.8386107606228453,0.604355108877722,True,False,False,False,721123822
950908432,2.469135802469136,2.3391812865497075,0.9625398014609478,-0.0377817300128182,0.5149836933442826,0.618090452261307,True,False,False,False,721123822
950908448,0.0,4.678362573099415,5.678362573099415,1.4305633952771817,0.0798096011732377,0.260971524288107,True,False,True,False,721123822
950908446,0.0,0.0,1.0,,,0.521943048576214,True,False,False,False,721123822
950908444,0.0,0.0,1.0,,,0.727973199329983,True,False,False,False,721123822
950908452,2.469135802469136,2.3391812865497075,0.9625398014609478,-0.0377817300128182,0.5149836933442826,0.604355108877722,True,False,False,False,721123822
950908466,4.938271604938271,2.3391812865497075,0.562315351789036,-0.6140976471957924,0.7288434266385075,0.645561139028476,True,False,False,False,721123822
950908460,0.0,0.0,1.0,,,0.700502512562814,True,False,False,False,721123822
950908475,12.34567901234568,4.678362573099415,0.425483227031501,-1.196964781257225,0.8811351416644475,0.549413735343384,True,False,False,False,721123822
950908802,4.938271604938271,2.3391812865497075,0.562315351789036,-0.6140976471957924,0.7288434266385075,0.590619765494137,True,False,False,False,721123822
950908501,24.69135802469136,9.35672514619883,0.4031209691696805,-1.7210155014373625,0.9538631562192212,0.535678391959799,True,False,False,False,721123822
950908496,14.814814814814811,11.695906432748536,0.8027856526562307,-0.3863459911128039,0.6494487663961575,0.274706867671692,True,False,True,False,721123822
950908489,22.22222222222222,7.017543859649122,0.3452530848652733,-1.8485884917321933,0.964377927569342,0.535678391959799,True,False,False,False,721123822
950908479,12.34567901234568,4.678362573099415,0.425483227031501,-1.196964781257225,0.8811351416644475,0.604355108877722,True,False,False,False,721123822
950908485,2.469135802469136,0.0,0.2882562277580071,-0.9999999999999998,0.8386107606228453,0.604355108877722,True,False,False,False,721123822
950908482,32.098765432098766,9.35672514619883,0.312903669094407,-2.375059487392625,0.9890150454254764,0.494472361809045,True,False,False,False,721123822
950908511,14.814814814814811,4.678362573099415,0.3590533711327499,-1.490199930866829,0.9283470368057396,0.576884422110553,True,False,False,False,721123822
950908507,14.814814814814811,9.35672514619883,0.6548748921484039,-0.7098696524394335,0.7592348522023165,0.521943048576214,True,False,False,False,721123822
950908504,17.28395061728395,11.695906432748536,0.694374355876186,-0.6635654499211716,0.7447847530921281,0.645561139028476,True,False,False,False,721123822
950908525,14.814814814814811,4.678362573099415,0.3590533711327499,-1.7268913108121,0.9543987245996616,0.686767169179229,True,False,False,False,721123822
950908518,9.876543209876544,9.35672514619883,0.9522074197980764,-0.0755671374673814,0.5299469861759468,0.480737018425461,True,False,False,False,721123822
950908547,12.34567901234568,74.85380116959062,5.683772335556744,6.020265506846871,1.575504028924802e-07,0.192294807370184,True,True,True,True,721123822
950908544,9.876543209876544,4.678362573099415,0.5220741979807635,-0.8722110451014066,0.806085955855499,0.521943048576214,True,False,False,False,721123822
950908583,2.469135802469136,0.0,0.2882562277580071,-0.9999999999999998,0.8386107606228453,0.233500837520938,True,False,True,False,721123822
950908555,14.814814814814811,2.3391812865497075,0.2111426106249229,-1.9857711951856185,0.9733441601858224,0.631825795644891,True,False,False,False,721123822
950908551,14.814814814814811,7.017543859649122,0.506964131640577,-1.0728835615716403,0.8554137243291944,0.50820770519263,True,False,False,False,721123822
950908591,0.0,9.35672514619883,10.35672514619883,2.0718790811312484,0.0220848646376199,0.288442211055276,True,True,True,True,721123822
950908621,0.0,0.0,1.0,,,0.343383584589615,True,False,True,False,721123822
950908657,14.814814814814811,2.3391812865497075,0.2111426106249229,-1.9857711951856185,0.9733441601858224,0.988944723618091,True,False,False,False,721123822
950908653,0.0,0.0,1.0,,,0.673031825795645,True,False,False,False,721123822
951888688,19.753086419753085,28.070175438596497,1.4007639562916814,0.929758049031302,0.1787847456833278,0.1785594639866,True,False,True,False,746083955
951888697,4.938271604938271,4.678362573099415,0.9562315351789036,-0.0534323017331959,0.5211853320231865,0.631825795644891,True,False,False,False,746083955
951888780,7.407407407407408,2.3391812865497075,0.3971713424530488,-1.0406813963530863,0.8481458587481567,0.384589614740369,True,False,True,False,746083955
